ticket_id,created_date,month,category,priority,assigned_agent,status,resolution_hours,sla_target_hours,met_sla,first_contact_resolved,csat_score
TKT-2226,2024-05-24,May 2024,Account Access,P3 - Medium,Kofi M.,Resolved,15.4,8,No,No,4.7
TKT-2227,2024-05-08,May 2024,Hardware,P2 - High,Kofi M.,Resolved,2.0,4,Yes,No,3.7
TKT-2228,2024-09-21,Sep 2024,Security,P1 - Critical,Ama S.,Resolved,0.5,1,Yes,Yes,4.2
TKT-2229,2024-03-16,Mar 2024,Email,P2 - High,Ernestina Z.,Resolved,0.5,4,Yes,No,4.2
TKT-2230,2024-01-14,Jan 2024,Software,P2 - High,Ernestina Z.,Resolved,3.1,4,Yes,Yes,4.1
TKT-2231,2024-07-10,Jul 2024,Network/VPN,P3 - Medium,Ernestina Z.,Resolved,5.7,8,Yes,Yes,4.6
TKT-2232,2024-03-15,Mar 2024,Software,P4 - Low,Ernestina Z.,Resolved,8.5,24,Yes,Yes,4.5
TKT-2233,2024-12-27,Dec 2024,Hardware,P3 - Medium,Kofi M.,Resolved,13.2,8,No,Yes,3.5
TKT-2234,2024-03-17,Mar 2024,Hardware,P2 - High,Kofi M.,Resolved,9.9,4,No,Yes,4.0
TKT-2235,2024-05-02,May 2024,Network/VPN,P1 - Critical,Kofi M.,Resolved,2.8,1,No,Yes,4.2
TKT-2236,2024-01-09,Jan 2024,Email,P1 - Critical,James K.,Resolved,1.8,1,No,Yes,3.5
TKT-2237,2024-05-03,May 2024,Software,P3 - Medium,Kofi M.,Resolved,32.2,8,No,Yes,4.3
TKT-2238,2024-02-04,Feb 2024,Software,P2 - High,Ernestina Z.,Resolved,2.4,4,Yes,Yes,4.5
TKT-2239,2024-05-09,May 2024,Software,P4 - Low,Ernestina Z.,Resolved,13.3,24,Yes,Yes,3.9
TKT-2240,2024-11-17,Nov 2024,Onboarding,P3 - Medium,Ama S.,Resolved,7.7,8,Yes,Yes,4.0
TKT-2241,2024-03-30,Mar 2024,Onboarding,P3 - Medium,Kofi M.,Resolved,6.4,8,Yes,No,3.8
TKT-2242,2024-02-02,Feb 2024,Hardware,P3 - Medium,Kofi M.,Resolved,15.0,8,No,Yes,4.7
TKT-2243,2024-06-10,Jun 2024,Network/VPN,P1 - Critical,Kofi M.,Resolved,0.5,1,Yes,No,3.9
TKT-2244,2024-11-27,Nov 2024,Security,P4 - Low,Ama S.,Resolved,39.8,24,No,Yes,4.8
TKT-2245,2024-05-19,May 2024,Software,P3 - Medium,Ama S.,Resolved,6.3,8,Yes,Yes,4.2
TKT-2246,2024-06-22,Jun 2024,Account Access,P3 - Medium,Kofi M.,Resolved,1.4,8,Yes,Yes,4.7
TKT-2247,2024-02-12,Feb 2024,Software,P3 - Medium,Kofi M.,Resolved,2.8,8,Yes,Yes,4.7
TKT-2248,2024-05-30,May 2024,Email,P3 - Medium,Ernestina Z.,Resolved,0.5,8,Yes,Yes,4.0
TKT-2249,2024-08-06,Aug 2024,Email,P4 - Low,Kofi M.,Resolved,77.1,24,No,Yes,4.8
TKT-2250,2024-11-10,Nov 2024,Software,P3 - Medium,Ama S.,Resolved,5.0,8,Yes,Yes,3.6
TKT-2251,2024-11-22,Nov 2024,Onboarding,P3 - Medium,Ama S.,Resolved,10.9,8,No,Yes,3.7
TKT-2252,2024-03-14,Mar 2024,Network/VPN,P3 - Medium,Kofi M.,Resolved,1.2,8,Yes,Yes,4.7
TKT-2253,2024-07-04,Jul 2024,Software,P4 - Low,Ernestina Z.,Resolved,31.1,24,No,Yes,4.9
TKT-2254,2024-08-15,Aug 2024,Software,P4 - Low,James K.,Resolved,23.3,24,Yes,Yes,4.5
TKT-2255,2024-02-28,Feb 2024,Hardware,P3 - Medium,James K.,Resolved,3.5,8,Yes,Yes,4.3
TKT-2256,2024-05-13,May 2024,Software,P4 - Low,Kofi M.,Resolved,36.2,24,No,Yes,4.5
TKT-2257,2024-04-12,Apr 2024,Account Access,P1 - Critical,James K.,Resolved,0.5,1,Yes,Yes,4.8
TKT-2258,2024-02-14,Feb 2024,Account Access,P3 - Medium,Ama S.,Resolved,10.8,8,No,Yes,4.3
TKT-2259,2024-06-02,Jun 2024,Software,P4 - Low,James K.,Resolved,2.9,24,Yes,Yes,3.7
TKT-2260,2024-03-12,Mar 2024,Hardware,P3 - Medium,Kofi M.,Resolved,3.1,8,Yes,Yes,4.1
TKT-2261,2024-10-09,Oct 2024,Security,P4 - Low,Ernestina Z.,Resolved,33.2,24,No,Yes,4.6
TKT-2262,2024-09-26,Sep 2024,Account Access,P4 - Low,Kofi M.,Resolved,11.4,24,Yes,Yes,5.0
TKT-2263,2024-02-07,Feb 2024,Onboarding,P3 - Medium,Kofi M.,Resolved,2.1,8,Yes,Yes,4.8
TKT-2264,2024-10-09,Oct 2024,Security,P2 - High,James K.,Resolved,6.0,4,No,Yes,4.3
TKT-2265,2024-01-29,Jan 2024,Security,P4 - Low,James K.,Resolved,147.1,24,No,Yes,4.9
TKT-2266,2024-06-26,Jun 2024,Hardware,P4 - Low,Ama S.,Resolved,14.6,24,Yes,Yes,4.5
TKT-2267,2024-05-20,May 2024,Email,P4 - Low,Ama S.,Resolved,52.1,24,No,Yes,4.5
TKT-2268,2024-10-24,Oct 2024,Email,P4 - Low,James K.,Resolved,5.1,24,Yes,Yes,4.4
TKT-2269,2024-10-15,Oct 2024,Security,P3 - Medium,Ernestina Z.,In Progress,0.9,8,Yes,Yes,
TKT-2270,2024-11-29,Nov 2024,Software,P4 - Low,Kofi M.,Resolved,16.8,24,Yes,Yes,4.8
TKT-2271,2024-05-28,May 2024,Email,P2 - High,Ama S.,Resolved,3.3,4,Yes,Yes,4.5
TKT-2272,2024-08-20,Aug 2024,Software,P3 - Medium,Ernestina Z.,Resolved,2.9,8,Yes,Yes,4.2
TKT-2273,2024-11-06,Nov 2024,Software,P2 - High,Ama S.,Resolved,3.3,4,Yes,Yes,5.0
TKT-2274,2024-07-23,Jul 2024,Software,P3 - Medium,Ama S.,Resolved,9.6,8,No,Yes,3.9
TKT-2275,2024-05-16,May 2024,Network/VPN,P3 - Medium,James K.,Resolved,12.4,8,No,Yes,4.9
TKT-2276,2024-11-11,Nov 2024,Security,P3 - Medium,James K.,Resolved,5.4,8,Yes,No,4.7
TKT-2277,2024-06-09,Jun 2024,Email,P4 - Low,James K.,Resolved,9.3,24,Yes,Yes,4.2
TKT-2278,2024-09-11,Sep 2024,Software,P2 - High,Ernestina Z.,Resolved,0.5,4,Yes,No,5.0
TKT-2279,2024-10-25,Oct 2024,Hardware,P4 - Low,Ernestina Z.,Resolved,17.4,24,Yes,Yes,4.8
TKT-2280,2024-12-10,Dec 2024,Onboarding,P3 - Medium,Ama S.,Resolved,1.6,8,Yes,Yes,4.1
TKT-2281,2024-07-06,Jul 2024,Software,P2 - High,Ama S.,Resolved,0.5,4,Yes,Yes,4.3
TKT-2282,2024-10-10,Oct 2024,Software,P3 - Medium,Ernestina Z.,Resolved,5.8,8,Yes,Yes,4.3
TKT-2283,2024-11-15,Nov 2024,Security,P3 - Medium,Ernestina Z.,Resolved,3.7,8,Yes,Yes,4.1
TKT-2284,2024-10-12,Oct 2024,Software,P4 - Low,James K.,Resolved,7.7,24,Yes,Yes,4.3
TKT-2285,2024-01-20,Jan 2024,Network/VPN,P3 - Medium,Ama S.,Resolved,10.0,8,No,Yes,3.7
TKT-2286,2024-03-12,Mar 2024,Email,P3 - Medium,Ama S.,In Progress,6.3,8,Yes,Yes,
TKT-2287,2024-10-30,Oct 2024,Software,P4 - Low,Kofi M.,Resolved,53.8,24,No,Yes,4.7
TKT-2288,2024-06-18,Jun 2024,Software,P2 - High,Ernestina Z.,Resolved,7.8,4,No,No,4.7
TKT-2289,2024-12-18,Dec 2024,Onboarding,P3 - Medium,Ernestina Z.,Resolved,1.9,8,Yes,Yes,4.5
TKT-2290,2024-10-23,Oct 2024,Security,P3 - Medium,James K.,Resolved,25.4,8,No,Yes,3.8
TKT-2291,2024-11-13,Nov 2024,Onboarding,P3 - Medium,James K.,Resolved,2.6,8,Yes,Yes,4.4
TKT-2292,2024-02-26,Feb 2024,Onboarding,P3 - Medium,Ernestina Z.,Resolved,1.8,8,Yes,Yes,4.1
TKT-2293,2024-07-29,Jul 2024,Hardware,P2 - High,Kofi M.,Resolved,0.5,4,Yes,No,3.6
TKT-2294,2024-09-22,Sep 2024,Hardware,P2 - High,Ama S.,Resolved,0.5,4,Yes,No,4.1
TKT-2295,2024-08-23,Aug 2024,Hardware,P2 - High,Ama S.,Resolved,3.1,4,Yes,Yes,4.8
TKT-2296,2024-11-25,Nov 2024,Onboarding,P2 - High,Ama S.,Resolved,1.3,4,Yes,Yes,3.9
TKT-2297,2024-06-01,Jun 2024,Email,P4 - Low,Ama S.,Resolved,11.6,24,Yes,Yes,4.5
TKT-2298,2024-06-11,Jun 2024,Account Access,P3 - Medium,Ama S.,In Progress,1.2,8,Yes,Yes,
TKT-2299,2024-03-03,Mar 2024,Software,P2 - High,Kofi M.,Resolved,0.5,4,Yes,No,4.0
TKT-2300,2024-03-15,Mar 2024,Security,P2 - High,Ernestina Z.,Resolved,1.0,4,Yes,Yes,4.0
TKT-2301,2024-12-01,Dec 2024,Account Access,P2 - High,Kofi M.,Resolved,0.5,4,Yes,Yes,3.9
TKT-2302,2024-12-22,Dec 2024,Email,P2 - High,James K.,Resolved,1.9,4,Yes,Yes,3.9
TKT-2303,2024-12-08,Dec 2024,Network/VPN,P2 - High,James K.,Resolved,1.4,4,Yes,Yes,4.1
TKT-2304,2024-08-29,Aug 2024,Onboarding,P3 - Medium,James K.,Resolved,7.6,8,Yes,Yes,4.9
TKT-2305,2024-11-30,Nov 2024,Account Access,P1 - Critical,Kofi M.,Resolved,1.3,1,No,Yes,3.9
TKT-2306,2024-11-26,Nov 2024,Software,P3 - Medium,Ernestina Z.,Resolved,0.6,8,Yes,Yes,4.6
TKT-2307,2024-01-20,Jan 2024,Security,P4 - Low,Kofi M.,Resolved,45.7,24,No,No,4.9
TKT-2308,2024-07-22,Jul 2024,Security,P2 - High,James K.,In Progress,1.0,4,Yes,No,
TKT-2309,2024-01-05,Jan 2024,Network/VPN,P4 - Low,Ernestina Z.,Resolved,24.8,24,No,No,4.2
TKT-2310,2024-10-05,Oct 2024,Onboarding,P2 - High,Kofi M.,Resolved,0.7,4,Yes,No,4.3
TKT-2311,2024-04-08,Apr 2024,Software,P3 - Medium,Ama S.,Resolved,4.3,8,Yes,Yes,3.9
TKT-2312,2024-01-08,Jan 2024,Hardware,P3 - Medium,Ama S.,Resolved,3.0,8,Yes,Yes,4.6
TKT-2313,2024-11-08,Nov 2024,Hardware,P3 - Medium,Kofi M.,Resolved,8.9,8,No,Yes,3.6
TKT-2314,2024-02-18,Feb 2024,Onboarding,P1 - Critical,James K.,Closed,0.5,1,Yes,Yes,4.1
TKT-2315,2024-05-16,May 2024,Account Access,P3 - Medium,Ama S.,Resolved,14.7,8,No,Yes,3.9
TKT-2316,2024-12-20,Dec 2024,Software,P3 - Medium,Ernestina Z.,Resolved,4.9,8,Yes,Yes,3.7
TKT-2317,2024-09-14,Sep 2024,Onboarding,P2 - High,Ama S.,Resolved,1.8,4,Yes,Yes,4.9
TKT-2318,2024-11-10,Nov 2024,Software,P3 - Medium,James K.,Resolved,1.8,8,Yes,No,4.2
TKT-2319,2024-07-10,Jul 2024,Email,P3 - Medium,Kofi M.,Resolved,3.1,8,Yes,Yes,4.7
